Parameter_C,L1,L2
-1.7594871,5.8569730680543734e-05,-0.0006322672544639045
-1.7594862,0.0003465699678201685,-0.0003153648229238714
-1.7594853,0.0003611571122666124,-0.0007267190829213453
-1.7594844,6.238089151576218e-05,-0.0004941751985408185
-1.7594835,0.0002494432936671579,-0.00014037334564709916
-1.7594826,0.0004693881716540207,-0.0006794821125171628
-1.7594817,0.0006359124656740137,-0.00021431691633447318
-1.7594808,0.0001964913782231825,-0.000667877121763342
-1.7594799,9.63185845864427e-05,-0.0006806005693678009
-1.759479,0.00015874213723576585,-0.00038301197595934215
-1.7594781,0.0001071004563162926,-0.00020236201113661527
-1.7594772,0.0001796280060694132,-0.000472285729977584
-1.7594763,0.00031373858880767404,-0.00032068922281519574
-1.7594754,8.905893498823095e-05,-0.0006063653953989025
-1.7594745,3.855308473647393e-05,-0.0011929574463945666
-1.7594736,0.00013001148200543627,-0.0007217270024245729
-1.7594727,0.00013336529537280383,-0.0009296098564969489
-1.7594718,0.00011032428723653523,-0.0007857646088852644
-1.7594709,-2.105566051472707e-05,-0.0005526482035437551
-1.75947,3.160778332032229e-05,-0.0007370180387734572
-1.7594691,0.00013135545932322487,-0.0009300100303478464
-1.7594682,0.00014530512091249348,-0.0008599052985637438
-1.7594673,0.00025110987692303176,-0.0008710140270649834
-1.7594664,0.00011506287282498648,-0.0010090798749885705
-1.7594655,9.632911484944772e-05,-0.0006150149029007108
-1.7594646,-8.224044780567219e-07,-0.0010536751543963041
-1.7594637,2.475510636849091e-05,-0.0010391566158543947
-1.7594628,-8.146468692371797e-06,-0.0009016654650634631
-1.7594619,-6.423125924539707e-05,-0.001133021347383618
-1.759461,3.624737330487484e-06,-0.0011525789558891031
-1.7594601,-2.781347638021383e-05,-0.0013809853665265482
-1.7594592,0.0002236014927959668,-0.0013457479613238439
-1.7594583,3.09662086829481e-05,-0.001334330986100284
-1.7594574,9.498551470040414e-06,-0.001414904420644378
-1.7594565,-6.991284666379416e-05,-0.0015032700648904306
-1.7594556,-1.1782516164969973e-05,-0.0014807245197171921
-1.7594547,6.094570425058905e-08,-0.0018709848299400655
-1.7594538,4.396833390608113e-05,-0.001576939769082514
-1.7594529,6.085913799920001e-05,-0.001772907937013184
-1.759452,1.7767667147395817e-05,-0.001695806256258749
-1.7594511,4.6664492074597824e-05,-0.0017730778199089936
-1.7594502,-4.0020998808979846e-05,-0.0015143564619696202
-1.7594493,-4.2883296756903985e-05,-0.0015762694478810386
-1.7594484,-6.905871954964995e-05,-0.0016019065170910982
-1.7594475,2.0575573872030827e-05,-0.0017065094697980537
-1.7594466,2.1723059637669777e-05,-0.0013845610478218908
-1.7594457,9.980153600461285e-05,-0.0016028301816020237
-1.7594448,3.576402751775407e-05,-0.0015298201510462728
-1.7594439,0.00014443460127329147,-0.0017937059962319136
-1.759443,7.27514276868171e-05,-0.0015755086714064255
-1.7594421,4.909059189489704e-06,-0.0018394835212570495
-1.7594412,0.0001263747245090812,-0.001798543948377374
-1.7594403,7.140068528835577e-05,-0.0018681244895311572
-1.7594394,0.00012092906334825799,-0.002046852647116989
-1.7594385,1.2359311724855282e-05,-0.0019982691675692883
-1.7594376,5.141618800371088e-05,-0.0018993991401916328
-1.7594367,5.425989942195781e-05,-0.0018126842809367734
